trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
21007921,2018-10-02 13:24:54,2018-10-02 14:07:36,3282,"2,562.0",26,McClurg Ct & Illinois St,211.0,St. Clair St & Erie St,Customer,,
21007922,2018-10-02 13:25:01,2018-10-02 13:28:37,6083,216.0,39,Wabash Ave & Adams St,43.0,Michigan Ave & Washington St,Subscriber,Male,1971.0
21007924,2018-10-02 13:25:04,2018-10-02 13:35:39,5654,635.0,296,Broadway & Belmont Ave,312.0,Clarendon Ave & Gordon Ter,Subscriber,Male,1991.0
21007925,2018-10-02 13:25:14,2018-10-02 13:36:11,4751,657.0,211,St. Clair St & Erie St,195.0,Columbus Dr & Randolph St,Subscriber,Male,1960.0
21007927,2018-10-02 13:25:29,2018-10-02 13:33:59,6006,510.0,47,State St & Kinzie St,283.0,LaSalle St & Jackson Blvd,Subscriber,Male,1965.0
21007928,2018-10-02 13:25:32,2018-10-02 13:30:11,1872,279.0,137,Morgan Ave & 14th Pl,241.0,Morgan St & Polk St,Subscriber,Male,1986.0
21007929,2018-10-02 13:25:38,2018-10-02 13:43:55,5634,"1,097.0",310,Damen Ave & Charleston St,332.0,Burling St (Halsted) & Diversey Pkwy (Temp),Subscriber,Male,1980.0
21007931,2018-10-02 13:25:48,2018-10-02 13:34:56,3579,548.0,181,LaSalle St & Illinois St,145.0,Mies van der Rohe Way & Chestnut St,Subscriber,Female,1965.0
21007932,2018-10-02 13:25:52,2018-10-02 13:34:04,1766,492.0,321,Wabash Ave & 9th St,287.0,Franklin St & Monroe St,Subscriber,Female,1990.0
21007935,2018-10-02 13:25:58,2018-10-02 13:33:24,2480,446.0,118,Sedgwick St & North Ave,225.0,Halsted St & Dickens Ave,Subscriber,Male,1991.0
21007937,2018-10-02 13:26:02,2018-10-02 13:40:45,6054,883.0,134,Peoria St & Jackson Blvd,284.0,Michigan Ave & Jackson Blvd,Subscriber,Male,1994.0
21007938,2018-10-02 13:26:09,2018-10-02 13:43:37,3162,"1,048.0",299,Halsted St & Roscoe St,219.0,Damen Ave & Cortland St,Subscriber,Male,1986.0
21007939,2018-10-02 13:26:15,2018-10-02 13:33:25,5605,430.0,31,Franklin St & Chicago Ave,331.0,Halsted St & Clybourn Ave (*),Customer,,
21007942,2018-10-02 13:26:39,2018-10-02 13:31:48,1742,309.0,426,Ellis Ave & 60th St,427.0,Cottage Grove Ave & 63rd St,Subscriber,Male,1994.0
21007943,2018-10-02 13:26:42,2018-10-02 13:27:49,3406,67.0,198,Green St & Madison St,112.0,Green St & Randolph St,Subscriber,Female,1983.0
21007944,2018-10-02 13:26:50,2018-10-02 13:33:10,5720,380.0,263,Rhodes Ave & 32nd St,148.0,State St & 33rd St,Subscriber,Male,1987.0
21007945,2018-10-02 13:26:52,2018-10-02 13:53:17,5413,"1,585.0",143,Sedgwick St & Webster Ave,90.0,Millennium Park,Subscriber,Male,1994.0
21007946,2018-10-02 13:26:53,2018-10-02 13:35:10,3521,497.0,274,Racine Ave & 15th St,317.0,Wood St & Taylor St,Subscriber,Male,1994.0
21007947,2018-10-02 13:26:53,2018-10-02 13:31:00,723,247.0,274,Racine Ave & 15th St,171.0,May St & Cullerton St,Subscriber,Female,1990.0
21007948,2018-10-02 13:27:00,2018-10-02 13:30:22,4719,202.0,182,Wells St & Elm St,289.0,Wells St & Concord Ln,Subscriber,Female,1990.0
21007950,2018-10-02 13:27:15,2018-10-02 14:07:54,760,"2,439.0",26,McClurg Ct & Illinois St,211.0,St. Clair St & Erie St,Customer,,
21007951,2018-10-02 13:27:26,2018-10-02 13:53:50,4774,"1,584.0",453,Clark St & Schreiber Ave,231.0,Sheridan Rd & Montrose Ave,Subscriber,Female,1985.0
21007952,2018-10-02 13:27:37,2018-10-02 13:36:34,2309,537.0,140,Dearborn Pkwy & Delaware Pl,142.0,McClurg Ct & Erie St,Subscriber,Female,1992.0
21007953,2018-10-02 13:27:38,2018-10-02 13:31:35,2293,237.0,325,Clark St & Winnemac Ave (Temp),344.0,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1966.0
21007954,2018-10-02 13:27:42,2018-10-02 13:34:55,1505,433.0,325,Clark St & Winnemac Ave (Temp),316.0,Damen Ave & Sunnyside Ave,Subscriber,Male,1977.0
21007955,2018-10-02 13:27:50,2018-10-02 13:38:31,6197,641.0,35,Streeter Dr & Grand Ave,212.0,Wells St & Hubbard St,Subscriber,Male,1983.0
